docid,label,url,author,title,year,abstract,combined_text,language
2157847,"Lisa Chauvet, Flore Gubert, Thibaut Jaulin, Sandrine Mesplé-Somps. Les migrants, acteurs des changements politiques en Afrique ?. De Boeck Supérieur, 2017. &#x27E8;hal-02157847&#x27E9;",https://hal.science/hal-02157847,"Lisa Chauvet, Flore Gubert, Thibaut Jaulin, Sandrine Mesplé-Somps","Les migrants, acteurs des changements politiques en Afrique ?",2017,,"Les migrants, acteurs des changements politiques en Afrique ? ",fr
2373678,"Patrice Geoffron, Christian de Perthuis. The Paris Agreement: From diplomatic success to effective implementation. Economics and Policy of Energy and the Environment, 2016, 3, &#x27E8;10.3280/EFE2016-003002&#x27E9;. &#x27E8;hal-02373678&#x27E9;",https://hal.science/hal-02373678,"Patrice Geoffron, Christian de Perthuis",The Paris Agreement: From diplomatic success to effective implementation,2016,,The Paris Agreement: From diplomatic success to effective implementation ,en
2313935,"Emmanuelle Lavallée, François Roubaud. Fear not for man? Armed conflict and social capital in Mali. GDRI IDE (International Development Economics) Conference, Nov 2018, Clermont-Ferrand, France. &#x27E8;hal-02313935&#x27E9;",https://hal.science/hal-02313935,"Emmanuelle Lavallée, François Roubaud",Fear not for man? Armed conflict and social capital in Mali,2018,,Fear not for man? Armed conflict and social capital in Mali ,en
4389823,"Jean-Pierre Cling, Mireille Razafindrakoto, François Roubaud. Export processing zones in Madagascar: a success story under threat?. World Development, 2005, 33 (5), pp.785-803. &#x27E8;10.1016/j.worlddev.2005.01.007&#x27E9;. &#x27E8;hal-04389823&#x27E9;",https://hal.science/hal-04389823,"Jean-Pierre Cling, Mireille Razafindrakoto, François Roubaud",Export processing zones in Madagascar: a success story under threat?,2005,,Export processing zones in Madagascar: a success story under threat? ,en
4389807,"Jean-Pierre Cling, Mireille Razafindrakoto, François Roubaud. La Banque mondiale, entre transformations et résilience. Critique Internationale, 2011, n° 53 (4), pp.43-65. &#x27E8;10.3917/crii.053.0043&#x27E9;. &#x27E8;hal-04389807&#x27E9;",https://hal.science/hal-04389807,"Jean-Pierre Cling, Mireille Razafindrakoto, François Roubaud","La Banque mondiale, entre transformations et résilience",2011,,"La Banque mondiale, entre transformations et résilience ",fr
2374755,"Marie Bessec, Patrice Geoffron. Introduction to the special issue on ‘Energy prices'. Economics and Policy of Energy and the Environment, 2015, 2, &#x27E8;10.3280/EFE2015-002002&#x27E9;. &#x27E8;hal-02374755&#x27E9;",https://hal.science/hal-02374755,"Marie Bessec, Patrice Geoffron",Introduction to the special issue on ‘Energy prices',2015,,Introduction to the special issue on ‘Energy prices' ,en
1475120,"Sophie Méritet. L’énergie est-elle un driver important de la politique étrangère américaine ?. La revue internationale et stratégique, 2016, 2016/4 (104), &#x27E8;10.3917/ris.104.0081&#x27E9;. &#x27E8;hal-01475120&#x27E9;",https://hal.science/hal-01475120,Sophie Méritet,L’énergie est-elle un driver important de la politique étrangère américaine ?,2016,,L’énergie est-elle un driver important de la politique étrangère américaine ? ,fr
3186389,"T. Calvo, E. Lavallée, Mireille Razafindrakoto, François Roubaud. Les conflits ont-ils un impact sur le capital social ? : l'expérience du Mali. Dialogue, 2020, 56, 10 p. &#x27E8;hal-03186389&#x27E9;",https://hal.science/hal-03186389,T,"Calvo, E",2020,,"Calvo, E ",pt
4163962,"Philippe de Vreyer, Björn Nilsson. When solidarity fails: Heterogeneous effects on children from adult deaths in Senegalese households. World Development, 2019, 114, &#x27E8;10.1016/j.worlddev.2018.09.018&#x27E9;. &#x27E8;hal-04163962&#x27E9;",https://hal.science/hal-04163962,"Philippe de Vreyer, Björn Nilsson",When solidarity fails: Heterogeneous effects on children from adult deaths in Senegalese households,2019,"The consequences of orphanhood have been an important topic on the research agenda in recent years, particularly against the backdrop of the AIDS epidemic in Sub-Saharan Africa. Previous literature has highlighted negative effects on children from prime-age adult deaths in the household. Some authors have however pointed out that the effects are small, possibly as a result of well-functioning coping mechanisms prevailing in the region. Furthermore, previous literature has not focused on the role of household living and budgetary arrangements. In this article, we investigate the links between deaths in the household and subsequent economic outcomes of children. Exploiting an unusually rich dataset from Senegal that permits us to precisely identify the main caregiver of a given child in the household, we test whether impacts on children differ according to their relationship with the deceased. We find robust evidence that this is the case: deaths in the household are not associated with diminished school presence for those children who are not under the direct responsibility of the deceased. They however have a strong significantnegative effect for those children who are. On the basis of our results, which include effects on child labor, we argue that in large and complex households, intra-household inequality in access to resources are an essential part of the story that may well lead to a heterogeneous absorption of shocks among family members. As such, there may be important limits to African informal safety nets.","When solidarity fails: Heterogeneous effects on children from adult deaths in Senegalese households The consequences of orphanhood have been an important topic on the research agenda in recent years, particularly against the backdrop of the AIDS epidemic in Sub-Saharan Africa. Previous literature has highlighted negative effects on children from prime-age adult deaths in the household. Some authors have however pointed out that the effects are small, possibly as a result of well-functioning coping mechanisms prevailing in the region. Furthermore, previous literature has not focused on the role of household living and budgetary arrangements. In this article, we investigate the links between deaths in the household and subsequent economic outcomes of children. Exploiting an unusually rich dataset from Senegal that permits us to precisely identify the main caregiver of a given child in the household, we test whether impacts on children differ according to their relationship with the deceased. We find robust evidence that this is the case: deaths in the household are not associated with diminished school presence for those children who are not under the direct responsibility of the deceased. They however have a strong significantnegative effect for those children who are. On the basis of our results, which include effects on child labor, we argue that in large and complex households, intra-household inequality in access to resources are an essential part of the story that may well lead to a heterogeneous absorption of shocks among family members. As such, there may be important limits to African informal safety nets.",en
2157773,"Florence Arestoff, Elodie Djemaï, Estelle Koussoubé, Sabine Mage-Bertomeu. Demographic conditions and investments in children’s human capital. NOPOOR POLICY SEMINAR Education, Employment, Networks and Poverty, Mar 2016, New Delhi, India. &#x27E8;hal-02157773&#x27E9;",https://hal.science/hal-02157773,"Florence Arestoff, Elodie Djemaï, Estelle Koussoubé, Sabine Mage-Bertomeu",Demographic conditions and investments in children’s human capital,2016,"This paper investigates the effects of demographic conditions on investment in children human capital. Using 196 Demographic and Health Surveys collected in 68 developing countries in Asia, Africa and Latin America since the 1990s, we explore the impact of demographic conditions at childhood on children’s health and education. More specifically, micro-level data from the Demographic and Health Surveys are matched with time series data on demographic conditions (fertility rate, mortality rate) for each country of the sample to estimate and quantify the impact of changes in the demographic pressure at childhood on child outcomes (health andeducation).The estimated effects of demographic variables differ across developing regions and overmeasures of human capital accumulation. While a decrease in fertility rate plays an importantrole in improving health status in Africa, Asia and Latin America as well, large differencesbetween the regions are highlighted when we consider education outcomes. Up to today, aneducation dividend can only be observed in Latin America, meaning that only for Latin Americathe demographic transition has led to more education. Africa, being less advanced in itsdemographic transition process, requires more time.","Demographic conditions and investments in children’s human capital This paper investigates the effects of demographic conditions on investment in children human capital. Using 196 Demographic and Health Surveys collected in 68 developing countries in Asia, Africa and Latin America since the 1990s, we explore the impact of demographic conditions at childhood on children’s health and education. More specifically, micro-level data from the Demographic and Health Surveys are matched with time series data on demographic conditions (fertility rate, mortality rate) for each country of the sample to estimate and quantify the impact of changes in the demographic pressure at childhood on child outcomes (health andeducation).The estimated effects of demographic variables differ across developing regions and overmeasures of human capital accumulation. While a decrease in fertility rate plays an importantrole in improving health status in Africa, Asia and Latin America as well, large differencesbetween the regions are highlighted when we consider education outcomes. Up to today, aneducation dividend can only be observed in Latin America, meaning that only for Latin Americathe demographic transition has led to more education. Africa, being less advanced in itsdemographic transition process, requires more time.",en
2181552,"Marie Bessec. Revisiting the transitional dynamics of business-cycle phases with mixed-frequency data. Econometric Reviews, 2019, 38 (7), &#x27E8;10.1080/07474938.2017.1397837&#x27E9;. &#x27E8;hal-02181552&#x27E9;",https://hal.science/hal-02181552,Marie Bessec,Revisiting the transitional dynamics of business-cycle phases with mixed-frequency data,2019,"This paper introduces a Markov-switching model in which transition probabilities depend on higher frequency indicators and their lags through polynomial weighting schemes. The MSV-MIDAS model is estimated through maximum likelihood (ML) methods with a slightly modified version of Hamilton’s filter. Monte Carlo simulations show that ML provides accurate estimates, but they suggest some caution in interpreting the tests of the parameters in the transition probabilities. We apply this new model to forecast business cycle turning points in the United States. We properly detect recessions by exploiting the link between GDP growth and higher frequency variables from financial and energy markets.","Revisiting the transitional dynamics of business-cycle phases with mixed-frequency data This paper introduces a Markov-switching model in which transition probabilities depend on higher frequency indicators and their lags through polynomial weighting schemes. The MSV-MIDAS model is estimated through maximum likelihood (ML) methods with a slightly modified version of Hamilton’s filter. Monte Carlo simulations show that ML provides accurate estimates, but they suggest some caution in interpreting the tests of the parameters in the transition probabilities. We apply this new model to forecast business cycle turning points in the United States. We properly detect recessions by exploiting the link between GDP growth and higher frequency variables from financial and energy markets.",en
4262974,"Jean-Noël Senne, Anda Mariana David. A descriptive analysis of immigration to and emigration from the EU: Where does the EU stand within OECD?. OECD. 2016. &#x27E8;hal-04262974&#x27E9;",https://universite-paris-saclay.hal.science/hal-04262974,"Jean-Noël Senne, Anda Mariana David",A descriptive analysis of immigration to and emigration from the EU: Where does the EU stand within OECD?,2016,,A descriptive analysis of immigration to and emigration from the EU: Where does the EU stand within OECD? ,en
2315549,"Bernard Guillochon, Annie Kawecki, Baptiste Venet. Économie internationale : commerce et macroéconomie. Dunod, 2012. &#x27E8;hal-02315549&#x27E9;",https://hal.science/hal-02315549,"Bernard Guillochon, Annie Kawecki, Baptiste Venet",Économie internationale : commerce et macroéconomie,2012,,Économie internationale : commerce et macroéconomie ,fr
4262981,"Jean-Noël Senne, Flore Gubert, Anne-Sophie Robilliard. Impact des chocs économiques et démographiques sur la scolarisation en milieu rural. IRD. Madagascar face au défi des objectifs du millénaire pour le développement, 2010. &#x27E8;hal-04262981&#x27E9;",https://universite-paris-saclay.hal.science/hal-04262981,"Jean-Noël Senne, Flore Gubert, Anne-Sophie Robilliard",Impact des chocs économiques et démographiques sur la scolarisation en milieu rural,2010,,Impact des chocs économiques et démographiques sur la scolarisation en milieu rural ,fr
4389824,"Jean-Pierre Cling, Mireille Razafindrakoto, François Roubaud. Is the World Bank compatible with the “Socialist-oriented market economy”?. Revue de la régulation. Capitalisme, institutions, pouvoirs, 2013, 13, &#x27E8;10.4000/regulation.10081&#x27E9;. &#x27E8;hal-04389824&#x27E9;",https://hal.science/hal-04389824,"Jean-Pierre Cling, Mireille Razafindrakoto, François Roubaud",Is the World Bank compatible with the “Socialist-oriented market economy”?,2013,,Is the World Bank compatible with the “Socialist-oriented market economy”? ,en
4389814,"Mireille Razafindrakoto, François Roubaud. Les multiples facettes de la pauvreté dans un pays en développement. Le cas de la capitale malgache. Economie et Statistique / Economics and Statistics, 2005, 383 (1), pp.131-155. &#x27E8;10.3406/estat.2005.7197&#x27E9;. &#x27E8;hal-04389814&#x27E9;",https://hal.science/hal-04389814,"Mireille Razafindrakoto, François Roubaud",Les multiples facettes de la pauvreté dans un pays en développement,2005,,Les multiples facettes de la pauvreté dans un pays en développement ,fr
4389819,"Mireille Razafindrakoto, François Roubaud. Are International Databases on Corruption Reliable? A Comparison of Expert Opinion Surveys and Household Surveys in Sub-Saharan Africa. World Development, 2010, 38 (8), pp.1057-1069. &#x27E8;10.1016/j.worlddev.2010.02.004&#x27E9;. &#x27E8;hal-04389819&#x27E9;",https://hal.science/hal-04389819,"Mireille Razafindrakoto, François Roubaud",Are International Databases on Corruption Reliable? A Comparison of Expert Opinion Surveys and Household Surveys in Sub-Saharan Africa,2010,,Are International Databases on Corruption Reliable? A Comparison of Expert Opinion Surveys and Household Surveys in Sub-Saharan Africa ,en
1288599,"Sandrine Mesplé-Somps, Flore Gubert, Lisa Chauvet. Transferts migratoires et démocratisation. La tragédie malienne, pp.227-241, 2013. &#x27E8;hal-01288599&#x27E9;",https://hal.science/hal-01288599,"Sandrine Mesplé-Somps, Flore Gubert, Lisa Chauvet",Transferts migratoires et démocratisation,2013,,Transferts migratoires et démocratisation ,fr
2304275,"Anne Joseph, Marc Raffinot, Baptiste Venet. Approfondissement financier et croissance : analyses empiriques en Afrique subsaharienne. Techniques financières et développement, 1998, 52. &#x27E8;hal-02304275&#x27E9;",https://hal.science/hal-02304275,"Anne Joseph, Marc Raffinot, Baptiste Venet",Approfondissement financier et croissance : analyses empiriques en Afrique subsaharienne,1998,,Approfondissement financier et croissance : analyses empiriques en Afrique subsaharienne ,fr
1827350,"Laure Pasquier-Doumer. The role of aspirations in the exclusion of Peruvian indigenous children. World Social Science Report 2016: Challenging Inequalities: Pathways to a Just World, UNESCO; International Social Science Council; Institute of Development Studies, pp.151-154, 2016, 978-92-3-100164-2. &#x27E8;hal-01827350&#x27E9;",https://hal.science/hal-01827350,Laure Pasquier-Doumer,The role of aspirations in the exclusion of Peruvian indigenous children,2016,"This contribution highlights a particular mechanism which underlies the exclusion of indigenous people in Peru. More precisely, it analyses how aspirations contribute to the persistence of inequality between ethnic groups. Relying on the Young Lives dataset, I find that indigenous children do not limit their aspirations when compared with non-indigenous children with the same socio-economic background. Findings suggest that they do not have internalized racial schemas about their opportunities. However, aspirations are a channel through which inequality persists between ethnic groups, exacerbating the effect of socio-economic status on educational achievement. Indeed, socio-economic status predicts levels of aspiration, which in turn affects progress in language mastery.","The role of aspirations in the exclusion of Peruvian indigenous children This contribution highlights a particular mechanism which underlies the exclusion of indigenous people in Peru. More precisely, it analyses how aspirations contribute to the persistence of inequality between ethnic groups. Relying on the Young Lives dataset, I find that indigenous children do not limit their aspirations when compared with non-indigenous children with the same socio-economic background. Findings suggest that they do not have internalized racial schemas about their opportunities. However, aspirations are a channel through which inequality persists between ethnic groups, exacerbating the effect of socio-economic status on educational achievement. Indeed, socio-economic status predicts levels of aspiration, which in turn affects progress in language mastery.",en
4258184,"Danny Cassimon, Bjorn van Campenhout, Marin Ferry, Marc Raffinot. Africa: Out of debt, into fiscal space? Dynamic fiscal impact of the debt relief initiatives on African Heavily Indebted Poor Countries (HIPCs). International Economics, 2015, 144, pp.29-52. &#x27E8;10.1016/j.inteco.2015.04.007&#x27E9;. &#x27E8;hal-04258184&#x27E9;",https://hal.science/hal-04258184,"Danny Cassimon, Bjorn van Campenhout, Marin Ferry, Marc Raffinot","Africa: Out of debt, into fiscal space? Dynamic fiscal impact of the debt relief initiatives on African Heavily Indebted Poor Countries (HIPCs)",2015,,"Africa: Out of debt, into fiscal space? Dynamic fiscal impact of the debt relief initiatives on African Heavily Indebted Poor Countries (HIPCs) ",en
4258196,"Marin Ferry, Marc Raffinot. Réductions de dette, aléa moral et ré-endettement des pays à faible revenu. Techniques financières et développement, 2016, n° 123 (2), pp.51-66. &#x27E8;10.3917/tfd.123.0051&#x27E9;. &#x27E8;hal-04258196&#x27E9;",https://hal.science/hal-04258196,"Marin Ferry, Marc Raffinot","Réductions de dette, aléa moral et ré-endettement des pays à faible revenu",2016,,"Réductions de dette, aléa moral et ré-endettement des pays à faible revenu ",fr
3186394,"Sandrine Mesplé-Somps, I. Diabaté. Mobiliser les migrants de retour au Mali pour lutter contre l'excision. Dialogue, 2019, 54, 4 p. &#x27E8;hal-03186394&#x27E9;",https://hal.science/hal-03186394,"Sandrine Mesplé-Somps, I",Diabaté,2019,,Diabaté ,fr
2157880,"Lisa Chauvet, Flore Gubert, Sandrine Mesplé-Somps. Adoption et transfert de normes politiques : le cas des migrants maliens. Les migrants, acteurs des changements politiques en Afrique ?, pp.121-136, 2017. &#x27E8;hal-02157880&#x27E9;",https://hal.science/hal-02157880,"Lisa Chauvet, Flore Gubert, Sandrine Mesplé-Somps",Adoption et transfert de normes politiques : le cas des migrants maliens,2017,,Adoption et transfert de normes politiques : le cas des migrants maliens ,fr
3148543,"Kenneth Houngbedji, Claire Zanuso. Les jeunes et les enjeux des marchés du travail en Afrique. L'économie africaine 2021, pp.75-93, 2021. &#x27E8;hal-03148543&#x27E9;",https://hal.science/hal-03148543,"Kenneth Houngbedji, Claire Zanuso",Les jeunes et les enjeux des marchés du travail en Afrique,2021,,Les jeunes et les enjeux des marchés du travail en Afrique ,fr
1491976,"Sophie Méritet. La politique énergétique. Les politiques publiques, pp.148-155, 2015. &#x27E8;hal-01491976&#x27E9;",https://hal.science/hal-01491976,Sophie Méritet,La politique énergétique,2015,,La politique énergétique ,fr
2597991,"E. Lavallée, François Roubaud, Mireille Razafindrakoto, T. Calvo. Au Mali, une cohésion sociale minée par les conflits. The Conversation France, 2020, 10 mars 2020, art. 132918 [6 p.]. &#x27E8;hal-02597991&#x27E9;",https://hal.science/hal-02597991,E,"Lavallée, François Roubaud, Mireille Razafindrakoto, T",2020,"Une étude révèle l'affaiblissement du tissu social dans les zones exposées à la violence, ce qui contribue à l’enracinement du conflit et à l'affaiblissement économique du pays, en guerre depuis 2012.","Lavallée, François Roubaud, Mireille Razafindrakoto, T Une étude révèle l'affaiblissement du tissu social dans les zones exposées à la violence, ce qui contribue à l’enracinement du conflit et à l'affaiblissement économique du pays, en guerre depuis 2012.",fr
2181988,"Jean-Marc Siroën. L'OMC et la mondialisation des économies. [Rapport de recherche] Université Paris-Dauphine. 1998, pp.97. &#x27E8;hal-02181988&#x27E9;",https://hal.science/hal-02181988,Jean-Marc Siroën,L'OMC et la mondialisation des économies,1998,,L'OMC et la mondialisation des économies ,fr
2314009,"Mariana Rojas Breu. Currency union with or without banking union. Séminaire de Recherche, LEMMA, Université Paris Panthéon Assas, Mar 2018, Paris, France. &#x27E8;hal-02314009&#x27E9;",https://hal.science/hal-02314009,Mariana Rojas Breu,Currency union with or without banking union,2018,,Currency union with or without banking union ,en
3148584,"Louis Braverman, Sandrine Dufour-Kippelen, Béatrice Fermon. Evaluation de l'expérimentation EHPAD@dom Croix-Rouge Française. [Rapport de recherche] Université Paris-Dauphine. 2020, pp.4. &#x27E8;hal-03148584&#x27E9;",https://hal.science/hal-03148584,"Louis Braverman, Sandrine Dufour-Kippelen, Béatrice Fermon",Evaluation de l'expérimentation EHPAD@dom Croix-Rouge Française,2020,,Evaluation de l'expérimentation EHPAD@dom Croix-Rouge Française ,fr
2941252,"Liam Wren-Lewis, Kenneth Houngbedji, Luis Guillermo Becerra-Valbuena. Can formalisation of customary land rights help reduce deforestation? Evidence from Benin. 2020. &#x27E8;hal-02941252&#x27E9;",https://hal.inrae.fr/hal-02941252,"Liam Wren-Lewis, Kenneth Houngbedji, Luis Guillermo Becerra-Valbuena",Can formalisation of customary land rights help reduce deforestation? Evidence from Benin,2020,,Can formalisation of customary land rights help reduce deforestation? Evidence from Benin ,en
1394887,"Jean-Marc Siroën. OMC : le possible et le souhaitable. Problèmes économiques, 2008, 2958. &#x27E8;hal-01394887&#x27E9;",https://hal.science/hal-01394887,Jean-Marc Siroën,OMC : le possible et le souhaitable,2008,,OMC : le possible et le souhaitable ,fr
